date,Total
7/6/2019 0:00,1593
7/13/2019 0:00,1585
7/20/2019 0:00,1534
7/27/2019 0:00,1480
8/3/2019 0:00,1457
8/10/2019 0:00,1590
8/17/2019 0:00,1482
8/24/2019 0:00,1463
8/31/2019 0:00,1724
9/7/2019 0:00,1954
9/14/2019 0:00,2537
9/21/2019 0:00,2662
9/28/2019 0:00,2903
10/5/2019 0:00,3274
10/12/2019 0:00,3650
10/19/2019 0:00,3784
10/26/2019 0:00,4153
11/2/2019 0:00,4474
11/9/2019 0:00,4693
11/16/2019 0:00,4616
11/23/2019 0:00,5191
11/30/2019 0:00,5349
12/7/2019 0:00,6403
12/14/2019 0:00,6980
12/21/2019 0:00,8550
12/28/2019 0:00,10393
1/4/2020 0:00,10973
1/11/2020 0:00,10122
1/18/2020 0:00,10212
1/25/2020 0:00,10794
2/1/2020 0:00,11069
2/8/2020 0:00,12222
2/15/2020 0:00,11946
2/22/2020 0:00,11791
2/29/2020 0:00,11660
3/7/2020 0:00,11513
3/14/2020 0:00,14019
3/21/2020 0:00,17982
3/28/2020 0:00,10509
4/4/2020 0:00,8224
4/11/2020 0:00,4758
4/18/2020 0:00,3258
4/25/2020 0:00,2893
5/2/2020 0:00,2316
5/9/2020 0:00,2012
5/16/2020 0:00,1974
5/23/2020 0:00,1628
5/30/2020 0:00,1450
6/6/2020 0:00,1657
6/13/2020 0:00,1629
6/20/2020 0:00,1720
6/27/2020 0:00,1881
7/4/2020 0:00,1821
7/11/2020 0:00,2288
7/18/2020 0:00,2765
7/25/2020 0:00,2906
8/1/2020 0:00,2705
8/8/2020 0:00,1301
8/15/2020 0:00,2132
8/22/2020 0:00,1982
8/29/2020 0:00,2048
9/5/2020 0:00,2067
9/12/2020 0:00,2136
9/19/2020 0:00,2111
9/26/2020 0:00,2546
10/3/2020 0:00,2545
10/10/2020 0:00,3188
10/17/2020 0:00,3142
10/24/2020 0:00,3319
10/31/2020 0:00,3507
11/7/2020 0:00,4198
11/14/2020 0:00,4005
11/21/2020 0:00,4582
11/28/2020 0:00,4526
12/5/2020 0:00,4740
12/12/2020 0:00,4861
12/19/2020 0:00,4292
12/26/2020 0:00,4200
1/2/2021 0:00,4514
1/9/2021 0:00,4690
1/16/2021 0:00,4422
1/23/2021 0:00,4629
1/30/2021 0:00,4352
2/6/2021 0:00,4290
2/13/2021 0:00,4494
2/20/2021 0:00,3785
2/27/2021 0:00,4140
3/6/2021 0:00,4367
3/13/2021 0:00,5246
3/20/2021 0:00,4560
3/27/2021 0:00,4804
4/3/2021 0:00,4864
4/10/2021 0:00,5183
4/17/2021 0:00,4740
4/24/2021 0:00,4703
5/1/2021 0:00,4379
5/8/2021 0:00,3999
5/15/2021 0:00,3438
5/22/2021 0:00,3163
5/29/2021 0:00,2899
6/5/2021 0:00,2895
6/12/2021 0:00,2817
6/19/2021 0:00,3007
6/26/2021 0:00,2983
7/3/2021 0:00,3084
7/10/2021 0:00,3375
7/17/2021 0:00,3429
7/24/2021 0:00,3631
7/31/2021 0:00,4137
8/7/2021 0:00,4559
8/14/2021 0:00,5287
8/21/2021 0:00,5439
8/28/2021 0:00,6064
9/4/2021 0:00,6484
9/11/2021 0:00,6996
9/18/2021 0:00,8440
9/25/2021 0:00,8391
10/2/2021 0:00,8659
10/9/2021 0:00,8958
10/16/2021 0:00,8120
10/23/2021 0:00,8313
10/30/2021 0:00,8384
11/6/2021 0:00,10229
11/13/2021 0:00,11265
11/20/2021 0:00,17657
11/27/2021 0:00,18204
12/4/2021 0:00,14139
12/11/2021 0:00,23961
12/18/2021 0:00,27240
12/25/2021 0:00,32669
1/1/2022 0:00,32309
1/8/2022 0:00,28775
1/15/2022 0:00,22339
1/22/2022 0:00,16400
