date,ILITOTAL,NUMOFPROVIDERS,TOTALPATIENTS
9/2/2013 0:00,64,17,8055
9/9/2013 0:00,65,17,8794
9/16/2013 0:00,56,16,8420
9/23/2013 0:00,132,17,8512
9/30/2013 0:00,201,27,12638
10/7/2013 0:00,217,29,12664
10/14/2013 0:00,243,30,15361
10/21/2013 0:00,452,30,14776
10/28/2013 0:00,435,31,15012
11/4/2013 0:00,509,32,15376
11/11/2013 0:00,506,32,15299
11/18/2013 0:00,585,32,15519
11/25/2013 0:00,398,31,10300
12/2/2013 0:00,939,32,15908
12/9/2013 0:00,854,30,13466
12/16/2013 0:00,892,30,12722
12/23/2013 0:00,755,28,10120
12/30/2013 0:00,808,29,11687
1/6/2014 0:00,598,29,11670
1/13/2014 0:00,451,27,10939
1/20/2014 0:00,576,29,11741
1/27/2014 0:00,467,29,11141
2/3/2014 0:00,437,28,12068
2/10/2014 0:00,230,24,7507
2/17/2014 0:00,239,27,12163
2/24/2014 0:00,223,25,10265
3/3/2014 0:00,204,24,10207
3/10/2014 0:00,163,23,9271
3/17/2014 0:00,131,24,9076
3/24/2014 0:00,105,24,7499
3/31/2014 0:00,81,21,8235
4/7/2014 0:00,85,22,8556
4/14/2014 0:00,115,22,8420
4/21/2014 0:00,138,22,8799
4/28/2014 0:00,105,20,7740
5/5/2014 0:00,119,19,8181
5/12/2014 0:00,119,19,7820
5/19/2014 0:00,115,19,7721
5/26/2014 0:00,73,18,6517
6/2/2014 0:00,92,16,7247
6/9/2014 0:00,83,15,6304
6/16/2014 0:00,56,17,5984
6/23/2014 0:00,58,17,6278
6/30/2014 0:00,46,17,5069
7/7/2014 0:00,46,17,6318
7/14/2014 0:00,47,16,6194
7/21/2014 0:00,54,17,6123
7/28/2014 0:00,41,17,6324
8/4/2014 0:00,68,17,6666
8/11/2014 0:00,87,17,6747
8/18/2014 0:00,111,17,7073
8/25/2014 0:00,122,16,7120
9/1/2014 0:00,120,17,6603
9/8/2014 0:00,118,15,6720
9/15/2014 0:00,152,17,7148
9/22/2014 0:00,136,15,6649
9/29/2014 0:00,220,26,12704
10/6/2014 0:00,270,27,13067
10/13/2014 0:00,214,28,12334
10/20/2014 0:00,246,28,13379
10/27/2014 0:00,253,28,11944
11/3/2014 0:00,274,26,10902
11/10/2014 0:00,510,28,12894
11/17/2014 0:00,693,28,12156
11/24/2014 0:00,600,25,8262
12/1/2014 0:00,447,26,8916
12/8/2014 0:00,1216,27,12031
12/15/2014 0:00,1830,27,11937
12/22/2014 0:00,1714,24,8827
12/29/2014 0:00,1008,24,8983
1/5/2015 0:00,525,23,9670
1/12/2015 0:00,886,23,10737
1/19/2015 0:00,1033,24,10693
1/26/2015 0:00,933,23,10930
2/2/2015 0:00,797,22,9622
2/9/2015 0:00,791,21,9401
2/16/2015 0:00,556,22,9214
2/23/2015 0:00,451,20,8165
3/2/2015 0:00,496,22,8449
3/9/2015 0:00,418,20,8866
3/16/2015 0:00,334,20,8557
3/23/2015 0:00,196,18,7023
3/30/2015 0:00,138,19,6975
4/6/2015 0:00,145,18,8122
4/13/2015 0:00,126,18,7602
4/20/2015 0:00,108,14,7056
4/27/2015 0:00,92,14,6475
5/4/2015 0:00,70,13,5249
5/11/2015 0:00,94,12,5006
5/18/2015 0:00,56,12,3594
5/25/2015 0:00,30,13,3779
6/1/2015 0:00,42,13,4378
6/8/2015 0:00,42,13,4157
6/15/2015 0:00,40,12,3972
6/22/2015 0:00,26,12,4152
6/29/2015 0:00,13,12,2097
7/6/2015 0:00,30,12,4374
7/13/2015 0:00,46,13,4300
7/20/2015 0:00,27,14,4402
7/27/2015 0:00,28,13,4697
8/3/2015 0:00,37,13,4774
8/10/2015 0:00,47,12,4385
8/17/2015 0:00,63,13,5086
8/24/2015 0:00,85,14,7097
8/31/2015 0:00,74,14,7011
9/7/2015 0:00,66,16,7572
9/14/2015 0:00,71,13,5648
9/21/2015 0:00,95,15,5760
9/28/2015 0:00,128,14,5943
10/5/2015 0:00,272,28,10507
10/12/2015 0:00,258,28,10369
10/19/2015 0:00,251,29,10836
10/26/2015 0:00,279,26,12699
11/2/2015 0:00,313,28,13508
11/9/2015 0:00,290,30,13127
11/16/2015 0:00,305,30,11531
11/23/2015 0:00,255,26,7279
11/30/2015 0:00,295,27,12023
12/7/2015 0:00,339,26,12269
12/14/2015 0:00,334,25,10640
12/21/2015 0:00,249,26,7578
12/28/2015 0:00,220,23,7614
1/4/2016 0:00,293,22,10574
1/11/2016 0:00,350,27,12542
1/18/2016 0:00,394,28,12154
1/25/2016 0:00,416,27,13196
2/1/2016 0:00,332,24,10245
2/8/2016 0:00,332,27,10612
2/15/2016 0:00,484,27,12440
2/22/2016 0:00,509,23,11572
2/29/2016 0:00,521,24,9523
3/7/2016 0:00,632,24,9648
3/14/2016 0:00,440,23,8832
3/21/2016 0:00,398,22,7901
3/28/2016 0:00,388,22,7119
4/4/2016 0:00,360,23,8158
4/11/2016 0:00,311,22,8569
4/18/2016 0:00,340,22,8673
4/25/2016 0:00,247,22,7952
5/2/2016 0:00,201,24,7888
5/9/2016 0:00,161,22,6391
5/16/2016 0:00,173,22,6408
5/23/2016 0:00,122,22,5452
5/30/2016 0:00,84,19,4354
6/6/2016 0:00,93,21,5639
6/13/2016 0:00,63,21,5333
6/20/2016 0:00,59,19,4789
6/27/2016 0:00,54,20,4953
7/4/2016 0:00,45,19,4145
7/11/2016 0:00,36,18,4649
7/18/2016 0:00,59,17,4868
7/25/2016 0:00,37,20,5613
8/1/2016 0:00,52,18,5242
8/8/2016 0:00,81,20,5212
8/15/2016 0:00,86,20,6163
8/22/2016 0:00,92,20,6656
8/29/2016 0:00,89,20,6374
9/5/2016 0:00,69,19,5215
9/12/2016 0:00,105,19,5940
9/19/2016 0:00,120,19,6384
9/26/2016 0:00,100,19,6615
10/3/2016 0:00,169,23,7599
10/10/2016 0:00,124,24,7377
10/17/2016 0:00,153,24,7664
10/24/2016 0:00,185,24,7698
10/31/2016 0:00,213,25,7885
11/7/2016 0:00,195,25,7924
11/14/2016 0:00,222,21,7879
11/21/2016 0:00,134,23,5113
11/28/2016 0:00,209,25,7753
12/5/2016 0:00,212,25,7990
12/12/2016 0:00,310,26,8063
12/19/2016 0:00,347,25,6989
12/26/2016 0:00,345,25,6302
1/2/2017 0:00,275,24,6268
1/9/2017 0:00,330,24,8017
1/16/2017 0:00,470,24,7698
1/23/2017 0:00,449,25,8527
1/30/2017 0:00,538,24,8307
2/6/2017 0:00,705,24,9081
2/13/2017 0:00,691,25,9138
2/20/2017 0:00,650,25,8759
2/27/2017 0:00,490,24,7785
3/6/2017 0:00,567,25,8599
3/13/2017 0:00,477,24,7996
3/20/2017 0:00,586,25,8635
3/27/2017 0:00,365,22,7043
4/3/2017 0:00,222,24,6764
4/10/2017 0:00,210,23,7245
4/17/2017 0:00,200,23,7216
4/24/2017 0:00,149,21,7256
5/1/2017 0:00,164,23,7131
