date,Total
07/06/2019 0:00,410.0
07/13/2019 0:00,394.0
07/20/2019 0:00,359.0
07/27/2019 0:00,302.0
08/03/2019 0:00,363.0
08/10/2019 0:00,271.0
08/17/2019 0:00,266.0
08/24/2019 0:00,267.0
08/31/2019 0:00,287.0
09/07/2019 0:00,311.0
09/14/2019 0:00,447.0
09/21/2019 0:00,547.0
09/28/2019 0:00,1079.0
10/05/2019 0:00,1395.0
10/12/2019 0:00,1859.0
10/19/2019 0:00,1745.0
10/26/2019 0:00,1731.0
11/02/2019 0:00,1827.0
11/09/2019 0:00,1864.0
11/16/2019 0:00,1960.0
11/23/2019 0:00,2154.0
11/30/2019 0:00,2311.0
12/07/2019 0:00,2943.0
12/14/2019 0:00,3744.0
12/21/2019 0:00,4556.0
12/28/2019 0:00,4678.0
01/04/2020 0:00,4871.0
01/11/2020 0:00,4282.0
01/18/2020 0:00,3931.0
01/25/2020 0:00,4040.0
02/01/2020 0:00,3935.0
02/08/2020 0:00,3742.0
02/15/2020 0:00,3661.0
02/22/2020 0:00,3425.0
02/29/2020 0:00,4146.0
03/07/2020 0:00,5340.0
03/14/2020 0:00,6711.0
03/21/2020 0:00,4614.0
03/28/2020 0:00,3671.0
04/04/2020 0:00,2316.0
04/11/2020 0:00,1733.0
04/18/2020 0:00,1147.0
04/25/2020 0:00,1057.0
05/02/2020 0:00,753.0
05/09/2020 0:00,684.0
05/16/2020 0:00,615.0
05/23/2020 0:00,497.0
05/30/2020 0:00,401.0
06/06/2020 0:00,393.0
06/13/2020 0:00,334.0
06/20/2020 0:00,352.0
06/27/2020 0:00,281.0
07/04/2020 0:00,318.0
07/11/2020 0:00,331.0
07/18/2020 0:00,308.0
07/25/2020 0:00,216.0
08/01/2020 0:00,218.0
08/08/2020 0:00,181.0
08/15/2020 0:00,232.0
08/22/2020 0:00,286.0
08/29/2020 0:00,240.0
09/05/2020 0:00,210.0
09/12/2020 0:00,235.0
09/19/2020 0:00,358.0
09/26/2020 0:00,387.0
10/03/2020 0:00,570.0
10/10/2020 0:00,777.0
10/17/2020 0:00,793.0
10/24/2020 0:00,903.0
10/31/2020 0:00,993.0
11/07/2020 0:00,1600.0
11/14/2020 0:00,2130.0
11/21/2020 0:00,2747.0
11/28/2020 0:00,2612.0
12/05/2020 0:00,3020.0
12/12/2020 0:00,2744.0
12/19/2020 0:00,2643.0
12/26/2020 0:00,2487.0
01/02/2021 0:00,2741.0
01/09/2021 0:00,2831.0
01/16/2021 0:00,2728.0
01/23/2021 0:00,2602.0
01/30/2021 0:00,2750.0
02/06/2021 0:00,2706.0
02/13/2021 0:00,1565.0
02/20/2021 0:00,2272.0
02/27/2021 0:00,2304.0
03/06/2021 0:00,2150.0
03/13/2021 0:00,1992.0
03/20/2021 0:00,1897.0
03/27/2021 0:00,2101.0
04/03/2021 0:00,2026.0
04/10/2021 0:00,2043.0
04/17/2021 0:00,2176.0
04/24/2021 0:00,2373.0
05/01/2021 0:00,2194.0
05/08/2021 0:00,2179.0
05/15/2021 0:00,2213.0
05/22/2021 0:00,2027.0
05/29/2021 0:00,1651.0
06/05/2021 0:00,1861.0
06/12/2021 0:00,1670.0
06/19/2021 0:00,1700.0
06/26/2021 0:00,1662.0
07/03/2021 0:00,1010.0
07/10/2021 0:00,1675.0
07/17/2021 0:00,1727.0
07/24/2021 0:00,1911.0
07/31/2021 0:00,2278.0
08/07/2021 0:00,2603.0
08/14/2021 0:00,2655.0
08/21/2021 0:00,2839.0
08/28/2021 0:00,2725.0
09/04/2021 0:00,2775.0
09/11/2021 0:00,2752.0
09/18/2021 0:00,3124.0
09/25/2021 0:00,3451.0
10/02/2021 0:00,3366.0
10/09/2021 0:00,3544.0
10/16/2021 0:00,4188.0
10/23/2021 0:00,4086.0
10/30/2021 0:00,4046.0
11/06/2021 0:00,4103.0
11/13/2021 0:00,4406.0
11/20/2021 0:00,4315.0
11/27/2021 0:00,4547.0
12/04/2021 0:00,5340.0
12/11/2021 0:00,5384.0
12/18/2021 0:00,4628.0
12/25/2021 0:00,6316.0
01/01/2022 0:00,7212.0
01/08/2022 0:00,8311.0
01/15/2022 0:00,6794.0
01/22/2022 0:00,5345.0
01/29/2022 0:00,5328.0
02/05/2022 0:00,3898.0
02/12/2022 0:00,2900.0
02/19/2022 0:00,2821.0
02/26/2022 0:00,2641.0
03/05/2022 0:00,3329.0
03/12/2022 0:00,3168.0
03/19/2022 0:00,3136.0
03/26/2022 0:00,3551.0
04/02/2022 0:00,3620.0
04/09/2022 0:00,3544.0
04/16/2022 0:00,3812.0
04/23/2022 0:00,3299.0
04/30/2022 0:00,3645.0
05/07/2022 0:00,4028.0
05/14/2022 0:00,4462.0
05/21/2022 0:00,4379.0
05/28/2022 0:00,4434.0
06/04/2022 0:00,4242.0
06/11/2022 0:00,5331.0
06/18/2022 0:00,3895.0
06/25/2022 0:00,3808.0
07/02/2022 0:00,3151.0
07/09/2022 0:00,3625.0
07/16/2022 0:00,3254.0
07/23/2022 0:00,3202.0
07/30/2022 0:00,3253.0
08/06/2022 0:00,2740.0
08/13/2022 0:00,3122.0
08/20/2022 0:00,2959.0
08/27/2022 0:00,1940.0
09/03/2022 0:00,2509.0
09/10/2022 0:00,2549.0
09/17/2022 0:00,2911.0
09/24/2022 0:00,3529.0
10/01/2022 0:00,4455.0
10/08/2022 0:00,4360.0
10/15/2022 0:00,4679.0
10/22/2022 0:00,5536.0
10/29/2022 0:00,6488.0
11/05/2022 0:00,7831.0
11/12/2022 0:00,8145.0
11/19/2022 0:00,11279.0
11/26/2022 0:00,11586.0
12/03/2022 0:00,14612.0
12/10/2022 0:00,13105.0
12/17/2022 0:00,11248.0
12/24/2022 0:00,8820.0
12/31/2022 0:00,10564.0
01/07/2023 0:00,8957.0
01/14/2023 0:00,6831.0
01/21/2023 0:00,5919.0
01/28/2023 0:00,5937.0
02/04/2023 0:00,6956.0
02/11/2023 0:00,7226.0
02/18/2023 0:00,6998.0
02/25/2023 0:00,6092.0
03/04/2023 0:00,6052.0
03/11/2023 0:00,5892.0
03/18/2023 0:00,6078.0
03/25/2023 0:00,5839.0
04/01/2023 0:00,5560.0
04/08/2023 0:00,4854.0
04/15/2023 0:00,4493.0
