date,Total
11/05/2022 0:00,98337.0
11/12/2022 0:00,105950.0
11/19/2022 0:00,117764.0
11/26/2022 0:00,119797.0
12/03/2022 0:00,142804.0
12/10/2022 0:00,138022.0
12/17/2022 0:00,132020.0
12/24/2022 0:00,111602.0
12/31/2022 0:00,104981.0
01/07/2023 0:00,92812.0
01/14/2023 0:00,81990.0
01/21/2023 0:00,74720.0
01/28/2023 0:00,74708.0
02/04/2023 0:00,72969.0
02/11/2023 0:00,73685.0
02/18/2023 0:00,70071.0
02/25/2023 0:00,67703.0
03/04/2023 0:00,65621.0
03/11/2023 0:00,63572.0
03/18/2023 0:00,62359.0
03/25/2023 0:00,61415.0
04/01/2023 0:00,58230.0
04/08/2023 0:00,56209.0
04/15/2023 0:00,46825.0
04/22/2023 0:00,43041.0
04/29/2023 0:00,41102.0
05/06/2023 0:00,39058.0
05/13/2023 0:00,38277.0
05/20/2023 0:00,37623.0
05/27/2023 0:00,34174.0
06/03/2023 0:00,33244.0
06/10/2023 0:00,30553.0
06/17/2023 0:00,27805.0
06/24/2023 0:00,25801.0
07/01/2023 0:00,23414.0
07/08/2023 0:00,27399.0
07/15/2023 0:00,25269.0
07/22/2023 0:00,25210.0
07/29/2023 0:00,26053.0
08/05/2023 0:00,27398.0
08/12/2023 0:00,29269.0
08/19/2023 0:00,32486.0
08/26/2023 0:00,38383.0
09/02/2023 0:00,41792.0
09/09/2023 0:00,45062.0
09/16/2023 0:00,48289.0
09/23/2023 0:00,52540.0
09/30/2023 0:00,53543.0
10/07/2023 0:00,53359.0
10/14/2023 0:00,54401.0
10/21/2023 0:00,56921.0
10/28/2023 0:00,58880.0
11/04/2023 0:00,65013.0
11/11/2023 0:00,78371.0
11/18/2023 0:00,86022.0
11/25/2023 0:00,83549.0
12/02/2023 0:00,102649.0
12/09/2023 0:00,109754.0
12/16/2023 0:00,121453.0
12/23/2023 0:00,133624.0
12/30/2023 0:00,133875.0
01/06/2024 0:00,126543.0
01/13/2024 0:00,115431.0
01/20/2024 0:00,101469.0
01/27/2024 0:00,100994.0
02/03/2024 0:00,105428.0
02/10/2024 0:00,104950.0
02/17/2024 0:00,101813.0
02/24/2024 0:00,101622.0
03/02/2024 0:00,96445.0
03/09/2024 0:00,92370.0
03/16/2024 0:00,85176.0
03/23/2024 0:00,78866.0
03/30/2024 0:00,75013.0
04/06/2024 0:00,72971.0
04/13/2024 0:00,69540.0
04/20/2024 0:00,64429.0
04/27/2024 0:00,61254.0
05/04/2024 0:00,53878.0
05/11/2024 0:00,48040.0
05/18/2024 0:00,45743.0
05/25/2024 0:00,44668.0
06/01/2024 0:00,40090.0
06/08/2024 0:00,38798.0
06/15/2024 0:00,37440.0
06/22/2024 0:00,35404.0
06/29/2024 0:00,33906.0
07/06/2024 0:00,32838.0
07/13/2024 0:00,35748.0
07/20/2024 0:00,36140.0
07/27/2024 0:00,38141.0
08/03/2024 0:00,38535.0
08/10/2024 0:00,39712.0
