date,Total
12/23/2023 0:00,5528
12/30/2023 0:00,6105
1/6/2024 0:00,5593
1/13/2024 0:00,5130
1/20/2024 0:00,4146
1/27/2024 0:00,4401
2/3/2024 0:00,4295
2/10/2024 0:00,4228
2/17/2024 0:00,4164
2/24/2024 0:00,4232
3/2/2024 0:00,4096
3/9/2024 0:00,3841
3/16/2024 0:00,3484
3/23/2024 0:00,3364
3/30/2024 0:00,3204
4/6/2024 0:00,3120
4/13/2024 0:00,2674
4/20/2024 0:00,2445
4/27/2024 0:00,2416
5/4/2024 0:00,2189
5/11/2024 0:00,2336
5/18/2024 0:00,1993
5/25/2024 0:00,1894
6/1/2024 0:00,1849
6/8/2024 0:00,1760
6/15/2024 0:00,1720
6/22/2024 0:00,1573
6/29/2024 0:00,1615
7/6/2024 0:00,1519
7/13/2024 0:00,1639
7/20/2024 0:00,1663
7/27/2024 0:00,1751
8/3/2024 0:00,1940
8/10/2024 0:00,2247
